25 3,33 0,136364 0,681818 0,681818 529 78 19,247248583959287 631 81 9,423446513304802
75 3,88 0 0,2 0 13 31 72,22555369518987 20 38 28,442409467900923
125 4,05 0,571429 0,142857 0 13 29 120,60463060170426 20 38 46,69621306530155
175 4,02 0,6875 0,4375 0 14 29 159,46426972379808 21 37 62,74324095877186
225 4,13 0,4 0,4 0 15 33 201,40504168680522 23 45 78,81099824514038
275 4,54 1,07143 0,571429 0 16 37 244,8596392313783 24 48 96,889510544895
325 4,13 0,333333 1 0 19 45 297,28476872294686 28 55 115,51860650603379
375 4,77 0,75 1,0625 0 17 38 325,64299453958796 25 47 127,70224299645886
425 4,05 1,06667 1,13333 0 17 39 379,77376362127194 25 48 148,03600939307393
475 4,24 1 1,21429 0,214286 19 47 417,9255291282481 28 57 165,0068273767882
525 4,59 1,30769 0,615385 0,846154 45 113 449,84522104840687 56 128 177,02121723517917
575 4,77 1,42857 1,21429 0,428571 71 175 484,5451778211887 83 187 189,52860949776485
625 5,59 1,33333 1,41667 5 86 185 547,4888253150297 97 196 211,86089588093117
675 5,23 1,375 2,0625 13,1875 185 370 516,9730965902182 198 382 200,77495175323327
725 5,45 2 2,83333 26,1667 232 473 565,1539641504529 245 488 220,36865838215454
775 7,19 2,38462 3,46154 35,6923 289 540 606,2798875916035 303 552 238,69917286624727
825 5,55 3,15385 2,84615 56,3846 379 636 609,2417199664666 393 647 237,93986402897949
875 5,96 3,15385 3,53846 69,0769 421 719 631,4933181505672 435 732 246,02263823170873
925 6,87 3,07692 4,15385 120 495 801 661,8179704362149 510 815 257,50577826478667
975 6,61 3,90909 4,72727 171 704 1067 624,8651756278238 723 1079 241,77496130770407
1025 7,27 4 4,71429 167,643 1004 1686 588,832949026359 1016 1680 229,3704853831016
1075 6,92 2,16667 3 132,278 1001 1825 572,6670928022294 1030 1841 222,11650308206964
1125 6,89 3,0625 4,3125 167,875 976 1747 631,5607467447104 999 1802 244,72800108606265
1175 6,51 3,10526 3,47368 137,895 1194 2465 591,1263345293431 1197 2450 229,75305610457642
